location,latitude,longitude,location_original
"New York, New York",40.7127281,-74.0060152,"New York, NY"
"Washington, District of Columbia",38.8950368,-77.0365427,"Washington, DC"
"San Francisco, California",37.7790262,-122.419906,"San Francisco, CA"
"Annapolis Junction, Maryland",39.125459649999996,-76.795323688298,"Annapolis Junction, MD"
"Arlington, Virginia",38.8769326,-77.0893094,"Arlington, VA"
"Chicago, Illinois",41.8755616,-87.6244212,"Chicago, IL"
"Herndon, Virginia",38.9695316,-77.3859479,"Herndon, VA"
"Seattle, Washington",47.6038321,-122.330062,"Seattle, WA"
"Bethesda, Maryland",38.98127255,-77.12335871396549,"Bethesda, MD"
"Palo Alto, California",37.4443293,-122.1598465,"Palo Alto, CA"
"Cupertino, California",37.3228934,-122.0322895,"Cupertino, CA"
"San Jose, California",37.3361663,-121.890591,"San Jose, CA"
"Annapolis, Maryland",38.9786401,-76.492786,"Annapolis, MD"
"McLean, Virginia",38.9318369,-77.1671337963356,"McLean, VA"
"Los Angeles, California",34.0536909,-118.242766,"Los Angeles, CA"
"South San Francisco, California",37.6535403,-122.4168664,"South San Francisco, CA"
"Menlo Park, California",37.4519671,-122.177992,"Menlo Park, CA"
"Alexandria, Virginia",38.8051095,-77.0470229,"Alexandria, VA"
"Fort Meade, Maryland",39.103197949999995,-76.74651732045955,"Fort Meade, MD"
"Silver Spring, Maryland",38.9997621,-77.02403709829767,"Silver Spring, MD"
"Boston, Massachusetts",42.3554334,-71.060511,"Boston, MA"
"Baltimore, Maryland",39.2908816,-76.610759,"Baltimore, MD"
"Reston, Virginia",38.955696,-77.34188283719988,"Reston, VA"
"Dallas, Texas",32.7762719,-96.7968559,"Dallas, TX"
"Bentonville, Arkansas",36.3728538,-94.2088172,"Bentonville, AR"
"Atlanta, Georgia",33.7489924,-84.3902644,"Atlanta, GA"
"Oak Ridge, Tennessee",36.0103562,-84.2696449,"Oak Ridge, TN"
"Fairfax, Virginia",38.8462236,-77.3063733,"Fairfax, VA"
"Sunnyvale, California",37.3688301,-122.036349,"Sunnyvale, CA"
"Laurel, Maryland",39.1044123,-76.8669233,"Laurel, MD"
"Santa Clara, California",37.2333253,-121.6846349,"Santa Clara, CA"
"Oklahoma City, Oklahoma",35.4729886,-97.5170536,"Oklahoma City, OK"
"Catonsville, Maryland",39.26099215,-76.74554777654639,"Catonsville, MD"
"Irving, Texas",32.8295183,-96.9442177,"Irving, TX"
"Livermore, California",37.6820583,-121.768053,"Livermore, CA"
"Somerville, Massachusetts",42.3875968,-71.0994968,"Somerville, MA"
"Mountain View, California",37.3893889,-122.0832101,"Mountain View, CA"
"Austin, Texas",30.2711286,-97.7436995,"Austin, TX"
"Madison, Wisconsin",43.074761,-89.3837613,"Madison, WI"
"Cambridge, Massachusetts",42.3750997,-71.1056157,"Cambridge, MA"
"Phoenix, Arizona",33.4484367,-112.074141,"Phoenix, AZ"
"Boulder, Colorado",40.0149856,-105.270545,"Boulder, CO"
"Kirkland, Washington",47.6765382,-122.2070775,"Kirkland, WA"
"Littleton, Colorado",39.613321,-105.016649,"Littleton, CO"
